,Track,Session,Time_Of_Day,Rain,Air_Temperature,Track_Temperature,Grip_Level,Car,Fuel,Front_Brake_Compound,Rear_Brake_Compound,Brake_Bias,TC,TC_Cut,ABS,Engine_Map,Tyres,Tyre_Temperature_Front_Left,Tyre_Temperature_Front_Right,Tyre_Temperature_Rear_Left,Tyre_Temperature_Rear_Right,Tyre_Pressure_Front_Left,Tyre_Pressure_Front_Right,Tyre_Pressure_Rear_Left,Tyre_Pressure_Rear_Right,Lap,Last_Lap_Time,Sector,Last_Sector_Time
0,Imola,7,32400,0,27.03878784,27.63708115,1,lamborghini_huracan_gt3_evo,61.32315063,1,1,0.75999999,3,0,4,0,1,69.74539185,71.57328796,73.63333893,75.08818817,26.07556343,25.85105133,26.04880142,25.88846588,0,NULL,0,0
1,Imola,7,32423.30273,0,27.047369,27.6624012,1,lamborghini_huracan_gt3_evo,60.61307144,1,1,0.75999999,3,0,4,0,1,72.64082336,76.09020233,76.93578339,79.82602692,26.35406876,26.28520966,26.36638641,26.34384727,0,NULL,1,23302
2,Imola,7,32457.69336,0,27.06004143,27.6998024,1,lamborghini_huracan_gt3_evo,59.72106552,1,1,0.75999999,3,0,4,0,1,77.7567749,84.41789246,79.87604523,85.31835938,26.84601212,27.08547974,26.64946175,26.87192154,0,NULL,2,57692
3,Imola,7,32507.73047,0,27.07845688,27.75418091,1,lamborghini_huracan_gt3_evo,58.29217911,1,1,0.75999999,3,0,4,0,1,85.25102234,89.13370514,84.38874817,87.86047363,27.56663895,27.53937531,27.0838604,27.11714554,0,NULL,0,0
4,Imola,7,32531.55664,0,27.08723068,27.78009415,1,lamborghini_huracan_gt3_evo,57.57421494,1,1,0.75999999,3,0,4,0,1,85.0355835,89.52925873,84.87545776,89.01344299,27.54650688,27.57790947,27.13114548,27.22839928,1,107722,1,23827
5,Imola,7,32565.73828,0,27.09980202,27.81724358,1,lamborghini_huracan_gt3_evo,56.6550293,1,1,0.75999999,3,0,4,0,1,85.53052521,92.42445374,84.82485962,90.78162384,27.59483719,27.85665512,27.12709427,27.39894104,1,107722,2,58015
6,Imola,7,32615.75781,0,27.11817932,27.87156487,1,lamborghini_huracan_gt3_evo,55.21800995,1,1,0.75999999,3,0,4,0,1,88.18399811,92.9560318,86.33357239,90.36872864,27.85074615,27.90886307,27.27310562,27.36047935,1,107722,0,0
7,Imola,7,32638.3125,0,27.12644768,27.89601898,1,lamborghini_huracan_gt3_evo,54.47814941,1,1,0.75999999,3,0,4,0,1,86.82888794,92.03031921,86.30620575,90.64201355,27.72118378,27.82052231,27.27100754,27.38724327,2,108035,1,22550
8,Imola,7,32673.31836,0,27.13930321,27.93404388,1,lamborghini_huracan_gt3_evo,53.55692673,1,1,0.75999999,3,0,4,0,1,87.15975952,94.23093414,86.39971161,92.37049103,27.75377274,28.03258896,27.2808075,27.55400085,2,108035,2,57552
9,Imola,7,32723.5,0,27.15769577,27.9884758,1,lamborghini_huracan_gt3_evo,52.10341644,1,1,0.75999999,3,0,4,0,1,90.00179291,94.12114716,87.72934723,92.04640198,28.02778244,28.02322769,27.40962982,27.52406502,2,108035,0,0
10,Imola,7,32746.10742,0,27.16596985,28.01296806,1,lamborghini_huracan_gt3_evo,51.3743782,1,1,0.75999999,3,0,4,0,1,88.15370178,93.0361557,87.15141296,91.96627045,27.85089684,27.91959763,27.3546772,27.51690292,3,107730,1,22617
11,Imola,7,32780.68359,0,27.17862129,28.05043221,1,lamborghini_huracan_gt3_evo,50.46855545,1,1,0.75999999,3,0,4,0,1,87.37940216,95.35076141,85.78351593,92.280159,27.77737427,28.14260864,27.22416878,27.54784584,3,107730,2,57195
12,Imola,7,32832.84766,0,27.19769669,28.10694695,1,lamborghini_huracan_gt3_evo,49.14633179,1,1,0.75999999,3,0,4,0,1,89.57455444,93.43062592,86.62377167,90.25836945,27.98932838,27.95949554,27.30605316,27.35497475,3,107730,0,0
13,Imola,7,32855.66797,0,27.20604324,28.13167953,1,lamborghini_huracan_gt3_evo,48.41706085,1,1,0.75999999,3,0,4,0,1,87.77155304,92.08338928,86.25576782,90.22943878,27.81677437,27.83069611,27.27125931,27.3527298,4,109352,1,22820
14,Imola,7,32890.18359,0,27.218647,28.16904449,1,lamborghini_huracan_gt3_evo,47.5227623,1,1,0.75999999,3,0,4,0,1,87.26577759,94.12210083,85.57590485,91.14124298,27.74010849,28.02721786,27.20679855,27.44107056,4,109352,2,57337
15,Imola,7,32939.61719,0,27.23668098,28.22253227,1,lamborghini_huracan_gt3_evo,46.08760452,1,1,0.75999999,3,0,4,0,1,89.51947784,94.12568665,86.84538269,90.52202606,27.95761681,28.02871704,27.32982445,27.38278198,4,109352,0,0
16,Imola,7,32962.17188,0,27.24489784,28.24690819,1,lamborghini_huracan_gt3_evo,45.35157013,1,1,0.75999999,3,0,4,0,1,87.92025757,93.07365417,86.65195465,90.82720184,27.80461884,27.92824936,27.31178093,27.41260147,5,106777,1,22555
17,Imola,7,32996.14063,0,27.25727654,28.28364754,1,lamborghini_huracan_gt3_evo,44.4468689,1,1,0.75999999,3,0,4,0,1,88.10049438,96.37520599,86.45277405,93.04792023,27.82271194,28.24598885,27.29345131,27.62658501,5,106777,2,56525
18,Imola,7,33045.79688,0,27.27534294,28.3372879,1,lamborghini_huracan_gt3_evo,43.02881241,1,1,0.75999999,3,0,4,0,1,89.87466431,95.31723785,87.41755676,91.97820282,27.99415588,28.1455822,27.38722801,27.52504921,5,106777,0,0
