,Track,Session,Time_Of_Day,Rain,Air_Temperature,Track_Temperature,Grip_Level,Car,Fuel,Front_Brake_Compound,Rear_Brake_Compound,Brake_Bias,TC,TC_Cut,ABS,Engine_Map,Tyres,Tyre_Temperature_Front_Left,Tyre_Temperature_Front_Right,Tyre_Temperature_Rear_Left,Tyre_Temperature_Rear_Right,Tyre_Pressure_Front_Left,Tyre_Pressure_Front_Right,Tyre_Pressure_Rear_Left,Tyre_Pressure_Rear_Right,Lap,Last_Lap_Time,Sector,Last_Sector_Time
0,Imola,7,32400,0,27.03878784,27.63708115,1,ferrari_488_gt3_evo,61.40280533,1,1,0.75999999,5,5,5,2,1,69.2376709,70.41765594,72.03960419,72.9312973,26.32681656,26.34009743,26.49580383,26.38140488,0,NULL,0,0
1,Imola,7,32423.16406,0,27.0473175,27.66224861,1,ferrari_488_gt3_evo,60.75294113,1,1,0.75999999,5,5,5,2,1,71.18370056,73.98529816,75.09446716,77.08380127,26.51418114,26.68313599,26.78961754,26.78059196,0,NULL,1,23172
2,Imola,7,32457.7207,0,27.06006241,27.69986534,1,ferrari_488_gt3_evo,59.89923477,1,1,0.75999999,5,5,5,2,1,76.58940887,82.71905518,78.22398376,82.43743134,27.03394508,27.52239227,27.09086609,27.29535675,0,NULL,2,57715
3,Imola,7,32507.95508,0,27.07855225,27.75446129,1,ferrari_488_gt3_evo,58.61183167,1,1,0.75999999,5,5,5,2,1,83.87429047,90.32183075,83.15782166,85.64942169,27.734478,28.25344276,27.56569862,27.60489082,0,NULL,0,0
4,Imola,7,32530.76172,0,27.08693123,27.77921295,1,ferrari_488_gt3_evo,57.9753685,1,1,0.75999999,5,5,5,2,1,82.85961151,89.64705658,83.81598663,86.85326385,27.63760567,28.18920135,27.62941742,27.72099686,1,107955,1,22812
5,Imola,7,32565.82813,0,27.09983444,27.81733704,1,ferrari_488_gt3_evo,57.15666199,1,1,0.75999999,5,5,5,2,1,84.67376709,92.81703949,84.50637054,89.67720795,27.81258965,28.49434662,27.69652176,27.99291992,1,107955,2,57882
6,Imola,7,32616.07227,0,27.11828804,27.87188911,1,ferrari_488_gt3_evo,55.89605331,1,1,0.75999999,5,5,5,2,1,85.49832916,91.70375061,85.81206512,89.88303375,27.89292908,28.38865089,27.82304764,28.0138607,1,107955,0,0
7,Imola,7,32638.80078,0,27.12663269,27.89656448,1,ferrari_488_gt3_evo,55.23330307,1,1,0.75999999,5,5,5,2,1,83.75378418,90.24786377,85.5148468,89.83109283,27.72598648,28.24942017,27.79504204,28.00941086,2,108120,1,22725
8,Imola,7,32673.23047,0,27.13926315,27.93392563,1,ferrari_488_gt3_evo,54.42922211,1,1,0.75999999,5,5,5,2,1,83.67829895,92.69403076,85.0005722,90.95497894,27.71954727,28.48505783,27.74648666,28.11811066,2,108120,2,57160
9,Imola,7,32723.6875,0,27.1577549,27.98864746,1,ferrari_488_gt3_evo,53.13395309,1,1,0.75999999,5,5,5,2,1,87.44928741,92.43670654,86.06681061,89.84162903,28.08274651,28.46134567,27.85002899,27.92277145,2,108120,0,0
10,Imola,7,32746.77734,0,27.16622162,28.01371384,1,ferrari_488_gt3_evo,52.48658752,1,1,0.75999999,5,5,5,2,1,86.00006866,90.84436035,85.9252243,89.88326263,27.94416237,28.309021,27.83697891,27.92731094,3,107607,1,23102
11,Imola,7,32781.72266,0,27.17900658,28.05157471,1,ferrari_488_gt3_evo,51.71888733,1,1,0.75999999,5,5,5,2,1,84.81564331,92.39375305,85.00901031,90.68193054,27.83127594,28.45858192,27.74983978,28.0048008,3,107607,2,58035
12,Imola,7,32832.22266,0,27.19746971,28.10627174,1,ferrari_488_gt3_evo,50.45990372,1,1,0.75999999,5,5,5,2,1,84.61846161,90.25092316,85.05583954,89.34461212,27.81352806,28.25405121,27.75551796,27.87759972,3,107607,0,0
13,Imola,7,32854.90625,0,27.20575905,28.13083839,1,ferrari_488_gt3_evo,49.79950333,1,1,0.75999999,5,5,5,2,1,83.27880859,89.3212738,85.108284,89.60111237,27.68545341,28.16533661,27.76108551,27.90275574,4,108535,1,22692
14,Imola,7,32888.86328,0,27.21817017,28.16763306,1,ferrari_488_gt3_evo,48.97466278,1,1,0.75999999,5,5,5,2,1,83.25383759,91.70170593,84.8267746,90.60361481,27.68384933,28.39465141,27.73485565,27.99979591,4,108535,2,56652
15,Imola,7,32939.75391,0,27.23673058,28.22267914,1,ferrari_488_gt3_evo,47.71453857,1,1,0.75999999,5,5,5,2,1,87.05477142,92.05740356,85.93330383,89.8314209,28.04992676,28.42998695,27.84226608,27.91942406,4,108535,0,0
16,Imola,7,32963.18359,0,27.24527168,28.24802017,1,ferrari_488_gt3_evo,47.07084274,1,1,0.75999999,5,5,5,2,1,85.44128418,90.92798615,85.61032867,89.87846375,27.89557838,28.32210922,27.81180763,27.92448616,5,107537,1,23432
17,Imola,7,32997.15234,0,27.25765228,28.28476143,1,ferrari_488_gt3_evo,46.25184631,1,1,0.75999999,5,5,5,2,1,84.83543396,93.38835907,85.25856018,90.71866608,27.83820915,28.55909729,27.77883148,28.00593758,5,107537,2,57402
18,Imola,7,33047.77734,0,27.27606964,28.33944511,1,ferrari_488_gt3_evo,44.99914932,1,1,0.75999999,5,5,5,2,1,86.38388062,93.37322998,86.10118103,89.75133514,27.98803902,28.55882454,27.86090088,27.91425323,5,107537,0,0
