,Track,Session,Time_Of_Day,Rain,Air_Temperature,Track_Temperature,Grip_Level,Car,Fuel,Front_Brake_Compound,Rear_Brake_Compound,Brake_Bias,TC,TC_Cut,ABS,Engine_Map,Tyres,Tyre_Temperature_Front_Left,Tyre_Temperature_Front_Right,Tyre_Temperature_Rear_Left,Tyre_Temperature_Rear_Right,Tyre_Pressure_Front_Left,Tyre_Pressure_Front_Right,Tyre_Pressure_Rear_Left,Tyre_Pressure_Rear_Right,Lap,Last_Lap_Time,Sector,Last_Sector_Time
0,Imola,7,32400,0,27.03878784,27.63708115,1,bentley_continental_gt3_2018,61.37617493,1,1,0.719999969,2,0,4,0,1,69.38077545,70.76308441,74.05317688,75.26572418,25.54055595,25.17325783,26.28910446,26.10554886,0,NULL,0,0
1,Imola,7,32423.57227,0,27.04746246,27.66267776,1,bentley_continental_gt3_2018,60.71367645,1,1,0.719999969,2,0,4,0,1,71.72408295,74.19863892,76.77855682,79.12773132,25.7660675,25.50362587,26.55129623,26.47681808,0,NULL,1,23580
2,Imola,7,32458.54492,0,27.06035995,27.70074463,1,bentley_continental_gt3_2018,59.87434387,1,1,0.719999969,2,0,4,0,1,75.663414,80.52507782,79.16055298,83.53788757,26.14506912,26.1117897,26.78079414,26.90102005,0,NULL,2,58545
3,Imola,7,32508.45313,0,27.07872772,27.75498199,1,bentley_continental_gt3_2018,58.57974625,1,1,0.719999969,2,0,4,0,1,80.508255,84.26454163,82.63485718,85.89513397,26.61134911,26.47195435,27.11550331,27.12849045,0,NULL,0,0
4,Imola,7,32531.9707,0,27.08738136,27.78054237,1,bentley_continental_gt3_2018,57.96086121,1,1,0.719999969,2,0,4,0,1,80.3658905,84.76477051,82.71398926,86.54304504,26.59823608,26.52052879,27.12365341,27.19124413,1,108447,1,23517
5,Imola,7,32566.45313,0,27.10006714,27.81802559,1,bentley_continental_gt3_2018,57.14448929,1,1,0.719999969,2,0,4,0,1,81.39804077,87.35777283,82.37075043,88.1579361,26.69813538,26.77026939,27.09151459,27.34708405,1,108447,2,58005
6,Imola,7,32616.39258,0,27.11840057,27.8722229,1,bentley_continental_gt3_2018,55.85609818,1,1,0.719999969,2,0,4,0,1,83.13703156,88.0796814,83.92479706,88.21677399,26.8662529,26.84074783,27.24187851,27.35390854,1,108447,0,0
7,Imola,7,32643.64844,0,27.12841034,27.90182304,1,bentley_continental_gt3_2018,55.17547989,1,1,0.719999969,2,0,4,0,1,83.57645416,88.08709717,86.31223297,88.79878235,26.90907669,26.79286766,27.47171021,27.39515305,2,107947,1,27257
8,Imola,7,32678.55664,0,27.14121819,27.93971062,1,bentley_continental_gt3_2018,54.32419205,1,1,0.719999969,2,0,4,0,1,83.65627289,89.42694092,86.98176575,89.97356415,26.91756058,26.92231178,27.53680611,27.50875282,2,107947,2,62167
9,Imola,7,32730.04297,0,27.16009331,27.99557114,1,bentley_continental_gt3_2018,53.0080986,1,1,0.719999969,2,0,4,0,1,85.41410065,89.9894104,87.74092102,89.07200623,27.05991364,26.97751617,27.61089325,27.42341232,2,107947,0,0
10,Imola,7,32752.72461,0,27.16839409,28.02014732,1,bentley_continental_gt3_2018,52.3584671,1,1,0.719999969,2,0,4,0,1,84.01516724,89.05148315,86.58290863,88.89585876,26.92614937,26.88800812,27.50025368,27.40703201,3,113657,1,22672
11,Imola,7,32799.36719,0,27.18546867,28.07071495,1,bentley_continental_gt3_2018,51.4189949,1,1,0.719999969,2,0,4,0,1,85.94359589,97.49521637,89.15306091,99.44944763,27.11237144,27.60126877,27.74808121,28.36003494,3,113657,2,69315
12,Imola,7,32849.71094,0,27.20385933,28.12520981,1,bentley_continental_gt3_2018,50.13598251,1,1,0.719999969,2,0,4,0,1,85.59287262,93.48110199,88.45230865,95.3041153,27.01380157,27.21709251,27.61460686,27.96326065,3,113657,0,0
13,Imola,7,32873.51172,0,27.21256447,28.15101242,1,bentley_continental_gt3_2018,49.48133469,1,1,0.719999969,2,0,4,0,1,84.15437317,90.84986115,87.63288879,93.1598053,26.87626266,26.96504784,27.53649902,27.75796509,4,119660,1,23795
14,Imola,7,32908.46094,0,27.22532082,28.18883514,1,bentley_continental_gt3_2018,48.61954117,1,1,0.719999969,2,0,4,0,1,83.57080078,90.33045197,86.40361786,91.80841827,26.82105446,26.91600227,27.41930389,27.62904739,4,119660,2,58752
15,Imola,7,32958.90234,0,27.24371719,28.2434063,1,bentley_continental_gt3_2018,47.32610321,1,1,0.719999969,2,0,4,0,1,85.09851074,89.26078796,87.17124176,89.90504456,26.96889305,26.81449127,27.49417496,27.44750214,4,119660,0,0
16,Imola,7,32982.19531,0,27.2522049,28.26859283,1,bentley_continental_gt3_2018,46.66353226,1,1,0.719999969,2,0,4,0,1,83.86109924,88.3806076,86.92302704,89.76476288,26.85064507,26.73053741,27.47088814,27.43457794,5,109192,1,23295
17,Imola,7,33017.07813,0,27.26490021,28.30627823,1,bentley_continental_gt3_2018,45.82204056,1,1,0.719999969,2,0,4,0,1,82.85769653,89.82276917,85.95631409,90.80664063,26.75513077,26.86979675,27.3509407,27.53540993,5,109192,2,58167
18,Imola,7,33067.57813,0,27.28326988,28.36083031,1,bentley_continental_gt3_2018,44.54001617,1,1,0.719999969,2,0,4,0,1,84.36107635,89.29897308,86.26721191,89.75708771,26.90063095,26.82068825,27.38196182,27.43582916,5,109192,0,0
